   GoodVibes v3.2 2023/06/05 08:36:57
   Citation: Luchini, G.; Alegre-Requena, J. V.; Funes-Ardoiz, I.; Paton, R. S. F1000Research, 2020, 9, 291.
   GoodVibes version 3.2 DOI: 10.12688/f1000research.22758.1

o  Requested: --csv --pes Step6.yaml --output Step6 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for B3LYP/6-31+G(d,p) level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  Step6_I5_OPT,-1458.868962,0.555700,-1458.277141,0.110579,0.099162,-1458.387720,-1458.376302,
o  Step6_P_OPT,-1458.878182,0.550898,-1458.288400,0.122269,0.106581,-1458.410669,-1458.394981,
o  Step6_TS6_OPT,-1458.851049,0.551870,-1458.263604,0.108941,0.098028,-1458.372545,-1458.361632,
   ********************************************************************************************************************************

   Gconf correction requested to be applied to below relative values using quasi-harmonic Boltzmann factors

   RXN: Step4 (kcal/mol)                   DE,DZPE,DH,T.DS,T.qh-DS,DG(T),qh-DG(T),
   ********************************************************************************************************************************
o  I5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
o  TS6,11.24,-2.40,8.49,-1.03,-0.71,9.52,9.21,
o  P,-5.79,-3.01,-7.07,7.34,4.66,-14.40,-11.72,
   ********************************************************************************************************************************
